platform_rank,platform,platform_full,genre,genre_label,recorded_sales_millions,genre_share_within_platform,genre_share_of_all_recorded_sales,platform_recorded_sales_millions,platform_share_of_all_recorded_sales,sales_rows,total_rows,sales_coverage_percent,x0,x1,y0,y1,parent_x0,parent_x1,parent_y0,parent_y1,cell_area
6,Wii,Nintendo Wii,Racing,,25.31,5.51,0.38,459.44,6.95,1357,1676,81.0,55.0211,61.1164,45.3759,51.6617,41.285,70.6831,28.0037,51.6617,38.3142
6,Wii,Nintendo Wii,Shooter,,22.18,4.83,0.34,459.44,6.95,1357,1676,81.0,61.1164,66.3739,37.528,43.9144,41.285,70.6831,28.0037,51.6617,33.576
6,Wii,Nintendo Wii,Music,,18.18,3.96,0.28,459.44,6.95,1357,1676,81.0,66.3739,70.6831,37.528,43.9144,41.285,70.6831,28.0037,51.6617,27.5208
6,Wii,Nintendo Wii,Platform,,16.46,3.58,0.25,459.44,6.95,1357,1676,81.0,61.1164,66.4176,43.9144,48.6147,41.285,70.6831,28.0037,51.6617,24.9171
6,Wii,Nintendo Wii,Fighting,,10.67,2.32,0.16,459.44,6.95,1357,1676,81.0,61.1164,66.4176,48.6147,51.6617,41.285,70.6831,28.0037,51.6617,16.1522
6,Wii,Nintendo Wii,Puzzle,,8.76,1.91,0.13,459.44,6.95,1357,1676,81.0,66.4176,70.6831,43.9144,47.0232,41.285,70.6831,28.0037,51.6617,13.2609
6,Wii,Nintendo Wii,Role-Playing,,5.64,1.23,0.09,459.44,6.95,1357,1676,81.0,66.4176,68.88,47.0232,50.4905,41.285,70.6831,28.0037,51.6617,8.5378
6,Wii,Nintendo Wii,Strategy,,4.13,0.9,0.06,459.44,6.95,1357,1676,81.0,68.88,70.6831,47.0232,50.4905,41.285,70.6831,28.0037,51.6617,6.252
6,Wii,Nintendo Wii,Action-Adventure,,2.9,0.63,0.04,459.44,6.95,1357,1676,81.0,66.4176,70.1661,50.4905,51.6617,41.285,70.6831,28.0037,51.6617,4.39
6,Wii,Nintendo Wii,Party,,0.4,0.09,0.01,459.44,6.95,1357,1676,81.0,70.1661,70.6831,50.4905,51.6617,41.285,70.6831,28.0037,51.6617,0.6055
7,DS,Nintendo DS,Simulation,Simulation,89.04,19.43,1.35,458.17,6.94,2396,3288,72.9,70.6831,80.7822,28.0037,41.3504,70.6831,100.0,28.0037,51.6617,134.7884
7,DS,Nintendo DS,Misc,Misc,68.79,15.01,1.04,458.17,6.94,2396,3288,72.9,70.6831,80.7822,41.3504,51.6617,70.6831,100.0,28.0037,51.6617,104.134
7,DS,Nintendo DS,Action,Action,65.25,14.24,0.99,458.17,6.94,2396,3288,72.9,80.7822,90.4638,28.0037,38.2061,70.6831,100.0,28.0037,51.6617,98.7752
7,DS,Nintendo DS,Adventure,Adventure,64.27,14.03,0.97,458.17,6.94,2396,3288,72.9,90.4638,100.0,28.0037,38.2061,70.6831,100.0,28.0037,51.6617,97.2917
7,DS,Nintendo DS,Puzzle,Puzzle,40.22,8.78,0.61,458.17,6.94,2396,3288,72.9,80.7822,88.8363,38.2061,45.7656,70.6831,100.0,28.0037,51.6617,60.8849
7,DS,Nintendo DS,Role-Playing,,31.37,6.85,0.47,458.17,6.94,2396,3288,72.9,80.7822,88.8363,45.7656,51.6617,70.6831,100.0,28.0037,51.6617,47.4878
7,DS,Nintendo DS,Sports,,30.57,6.67,0.46,458.17,6.94,2396,3288,72.9,88.8363,94.8648,38.2061,45.8824,70.6831,100.0,28.0037,51.6617,46.2767
7,DS,Nintendo DS,Platform,,26.04,5.68,0.39,458.17,6.94,2396,3288,72.9,94.8648,100.0,38.2061,45.8824,70.6831,100.0,28.0037,51.6617,39.4192
7,DS,Nintendo DS,Strategy,,14.33,3.13,0.22,458.17,6.94,2396,3288,72.9,88.8363,92.5898,45.8824,51.6617,70.6831,100.0,28.0037,51.6617,21.6927
7,DS,Nintendo DS,Racing,,13.81,3.01,0.21,458.17,6.94,2396,3288,72.9,92.5898,96.2072,45.8824,51.6617,70.6831,100.0,28.0037,51.6617,20.9055
7,DS,Nintendo DS,Shooter,,7.15,1.56,0.11,458.17,6.94,2396,3288,72.9,96.2072,100.0,45.8824,48.7361,70.6831,100.0,28.0037,51.6617,10.8236
7,DS,Nintendo DS,Fighting,,6.36,1.39,0.1,458.17,6.94,2396,3288,72.9,96.2072,99.4981,48.7361,51.6617,70.6831,100.0,28.0037,51.6617,9.6277
7,DS,Nintendo DS,Action-Adventure,,0.95,0.21,0.01,458.17,6.94,2396,3288,72.9,99.4981,100.0,48.7361,51.6013,70.6831,100.0,28.0037,51.6617,1.4381
7,DS,Nintendo DS,Visual Novel,,0.02,0.0,0.0,458.17,6.94,2396,3288,72.9,99.4981,100.0,51.6013,51.6617,70.6831,100.0,28.0037,51.6617,0.0303
