Name,Platform,Year_of_Release,Genre,User_Score,User_Count
Gran Turismo,PS,1997.0,Racing,8.7,138.0
Super Mario 3D Land,3DS,2011.0,Platform,8.4,921.0
Gran Turismo 5,PS3,2010.0,Racing,7.5,1112.0
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,6.3,2073.0
Grand Theft Auto IV,PS3,2008.0,Action,7.5,2833.0
Call of Duty: Ghosts,X360,2013.0,Shooter,2.6,2117.0
New Super Mario Bros. 2,3DS,2012.0,Platform,7.2,424.0
Halo: Reach,X360,2010.0,Shooter,7.9,2045.0
Final Fantasy VII,PS,1997.0,Role-Playing,9.2,1282.0
Halo 4,X360,2012.0,Shooter,7.0,3260.0
Gran Turismo 2,PS,1999.0,Racing,9.0,135.0
Call of Duty: Ghosts,PS3,2013.0,Shooter,2.6,1047.0
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,8.4,1320.0
Animal Crossing: New Leaf,3DS,2012.0,Simulation,8.7,626.0
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,8.4,3589.0
FIFA 16,PS4,2015.0,Sports,4.3,896.0
Halo 2,XB,2004.0,Shooter,8.2,1218.0
FIFA Soccer 13,PS3,2012.0,Action,6.6,348.0
Final Fantasy X,PS2,2001.0,Role-Playing,8.7,1056.0
The Sims 3,PC,2009.0,Simulation,7.6,886.0
Final Fantasy VIII,PS,1999.0,Role-Playing,8.6,644.0
Pokémon Platinum Version,DS,2008.0,Role-Playing,8.5,203.0
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,7.6,451.0
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,5.7,1443.0
FIFA 17,PS4,2016.0,Sports,5.0,398.0
Super Mario Galaxy 2,Wii,2010.0,Platform,9.1,1854.0
Call of Duty: World at War,X360,2008.0,Shooter,7.6,580.0
Battlefield 3,X360,2011.0,Shooter,7.4,2142.0
Need for Speed Underground,PS2,2003.0,Racing,8.6,171.0
Battlefield 3,PS3,2011.0,Shooter,7.5,1761.0
Fallout 4,PS4,2015.0,Role-Playing,6.5,4228.0
Tekken 3,PS,1998.0,Fighting,9.1,367.0
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,9.0,1658.0
Crash Bandicoot 3: Warped,PS,1998.0,Platform,8.9,432.0
Mario Kart 8,WiiU,2014.0,Racing,9.1,1599.0
Super Smash Bros. Melee,GC,2001.0,Fighting,9.1,568.0
Need for Speed Underground 2,PS2,2004.0,Racing,8.6,132.0
Medal of Honor: Frontline,PS2,2002.0,Shooter,8.5,135.0
Gears of War 2,X360,2008.0,Shooter,7.7,2739.0
Uncharted 3: Drake's Deception,PS3,2011.0,Action,8.3,3712.0
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,8.4,993.0
Uncharted 2: Among Thieves,PS3,2009.0,Action,8.8,5187.0
Red Dead Redemption,PS3,2010.0,Action,8.8,2456.0
FIFA 14,PS3,2013.0,Sports,4.3,576.0
Assassin's Creed III,PS3,2012.0,Action,6.9,1307.0
Donkey Kong Country Returns,Wii,2010.0,Platform,8.6,368.0
Halo: Combat Evolved,XB,2001.0,Shooter,8.6,1283.0
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,6.4,2527.0
Pokémon Emerald Version,GBA,2004.0,Role-Playing,9.0,222.0
Kingdom Hearts,PS2,2002.0,Role-Playing,8.8,597.0
Halo 3: ODST,X360,2009.0,Shooter,7.1,1163.0
Red Dead Redemption,X360,2010.0,Action,9.0,2316.0
Super Mario Sunshine,GC,2002.0,Platform,8.6,439.0
World of Warcraft,PC,2004.0,Role-Playing,7.3,2182.0
Driver,PS,1999.0,Action,8.1,78.0
Gears of War 3,X360,2011.0,Shooter,7.8,1504.0
Kinect Sports,X360,2010.0,Sports,7.4,95.0
Gears of War,X360,2006.0,Shooter,8.3,2295.0
FIFA 15,PS4,2014.0,Sports,5.7,988.0
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,8.7,1026.0
Metal Gear Solid,PS,1998.0,Action,9.4,918.0
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,8.7,3558.0
Final Fantasy XII,PS2,2006.0,Role-Playing,7.6,972.0
The Last of Us,PS3,2013.0,Action,9.1,8003.0
LittleBigPlanet,PS3,2008.0,Platform,6.8,5311.0
